time,stateRun,private,price,windSpeed,sunshineHour,temperature,special
2021-11-01-00,236.4,14,600,2.2,0,21.4,0
2021-11-01-01,281.1,14,600,0.4,0,20.9,0
2021-11-01-02,281.1,14,600,0.8,0,20.9,0
2021-11-01-03,281,14,600,1.5,0,21.1,0
2021-11-01-04,281,14,600,1.4,0,21.4,0
2021-11-01-05,281,14,600,0.3,0,21.5,0
2021-11-01-06,281,14,600,0.9,0,22.6,0
2021-11-01-07,105,14,500,0.5,1,25,0
2021-11-01-08,80,14,500,1.2,1,25.7,0
2021-11-01-09,92.6,14,500,1.4,1,27.1,0
2021-11-01-10,80,14,600,1.8,1,28,0
2021-11-01-11,81,14,600,3.1,1,28.7,0
2021-11-01-12,80,14,500,4.1,1,28.6,0
2021-11-01-13,80,14,600,4.8,1,28.9,0
2021-11-01-14,80,14,480,5.5,1,28.2,0
2021-11-01-15,80,14,480,4.5,1,26.5,0
2021-11-01-16,80,14,480,5.2,0.5,24.9,0
2021-11-01-17,80,14,480,2.5,0,24.3,0
2021-11-01-18,80,14,480,1.9,0,23.5,0
2021-11-01-19,80,14,500,1.9,0,22.7,0
2021-11-01-20,80,14,500,3.1,0,22.3,0
2021-11-01-21,80,14,500,1.5,0,21.8,0
2021-11-01-22,80,14,600,2.5,0,21.7,0
2021-11-01-23,80,14,600,1.2,0,21,0
2021-11-02-00,80,14,550,1.3,0,20.9,0
2021-11-02-01,281.1,14,600,1.1,0,21,0
2021-11-02-02,281.1,14,600,0.5,0,20.2,0
2021-11-02-03,193,14,600,0.4,0,20.1,0
2021-11-02-04,193,14,600,1.2,0,20.4,0
2021-11-02-05,193,14,600,1.7,0,19.8,0
2021-11-02-06,193,14,600,1.7,0,20.6,0
2021-11-02-07,105,14,550,1.3,0.8,22.7,0
2021-11-02-08,80,14,600,1.1,1,24.3,0
2021-11-02-09,80,14,595,1.4,1,26.1,0
2021-11-02-10,80,14,595,2.8,1,27.7,0
2021-11-02-11,80,14,595,2.7,1,28.1,0
2021-11-02-12,80,14,595,4.6,1,28.8,0
2021-11-02-13,80,14,595,4.6,1,28.6,0
2021-11-02-14,80,14,595,4.7,1,27,0
